order_dow,order_hour_of_day,air_fresheners_candles,asian_foods,baby_accessories,baby_bath_body_care,baby_food_formula,bakery_desserts,baking_ingredients,baking_supplies_decor,beauty,beers_coolers,body_lotions_soap,bread,breakfast_bakery,breakfast_bars_pastries,bulk_dried_fruits_vegetables,bulk_grains_rice_dried_goods,buns_rolls,butter,candy_chocolate,canned_fruit_applesauce,canned_jarred_vegetables,canned_meals_beans,canned_meat_seafood,cat_food_care,cereal,chips_pretzels,cleaning_products,cocoa_drink_mixes,coffee,cold_flu_allergy,condiments,cookies_cakes,crackers,cream,deodorants,diapers_wipes,digestion,dish_detergents,dog_food_care,doughs_gelatins_bake_mixes,dry_pasta,eggs,energy_granola_bars,energy_sports_drinks,eye_ear_care,facial_care,feminine_care,first_aid,food_storage,fresh_dips_tapenades,fresh_fruits,fresh_herbs,fresh_pasta,fresh_vegetables,frozen_appetizers_sides,frozen_breads_doughs,frozen_breakfast,frozen_dessert,frozen_juice,frozen_meals,frozen_meat_seafood,frozen_pizza,frozen_produce,frozen_vegan_vegetarian,fruit_vegetable_snacks,grains_rice_dried_goods,granola,hair_care,honeys_syrups_nectars,hot_cereal_pancake_mixes,hot_dogs_bacon_sausage,ice_cream_ice,ice_cream_toppings,indian_foods,instant_foods,juice_nectars,kitchen_supplies,kosher_foods,latino_foods,laundry,lunch_meat,marinades_meat_preparation,meat_counter,milk,mint_gum,missing,more_household,muscles_joints_pain_relief,nuts_seeds_dried_fruit,oils_vinegars,oral_hygiene,other,other_creams_cheeses,packaged_cheese,packaged_meat,packaged_poultry,packaged_produce,packaged_seafood,packaged_vegetables_fruits,paper_goods,pasta_sauce,pickled_goods_olives,plates_bowls_cups_flatware,popcorn_jerky,poultry_counter,prepared_meals,prepared_soups_salads,preserved_dips_spreads,protein_meal_replacements,red_wines,refrigerated,refrigerated_pudding_desserts,salad_dressing_toppings,seafood_counter,shave_needs,skin_care,soap,soft_drinks,soup_broth_bouillon,soy_lactosefree,specialty_cheeses,specialty_wines_champagnes,spices_seasonings,spirits,spreads,tea,tofu_meat_alternatives,tortillas_flat_bread,trail_mix_snack_mix,trash_bags_liners,vitamins_supplements,water_seltzer_sparkling_water,white_wines,yogurt
0,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,32,4,0,16,4,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,0,12,0,4,0,0,24,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,32,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,24,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,4,8,0,4,0,0,0,0,0,0
0,2,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0
0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4
0,5,0,0,0,0,16,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,8,4,0,0,0,0,0,0,0,68,12,0,72,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,4,4,4,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,0,0,8,0,0,4,4,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,4,0,4,0,0,4,4,0,0,12,0,0,4,0,4,0,0,0,0,0,0,4,0,12
0,6,0,4,0,0,4,0,24,0,0,0,0,4,0,0,0,0,0,4,4,0,0,4,0,0,0,4,0,0,4,0,0,0,4,8,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,8,84,8,0,92,4,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,8,0,0,0,4,8,0,8,16,0,4,0,0,4,12,4,0,4,4,4,0,0,0,16,0,4,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,8,8,28,0,0,4,0,0,4,0,4,0,0,0,8,0,8
0,7,0,4,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,4,4,20,20,8,0,0,8,0,0,0,0,0,0,12,12,0,0,0,4,0,0,16,8,36,4,0,0,0,0,0,24,88,8,0,96,8,4,4,0,0,12,8,12,24,8,4,0,0,0,4,4,4,16,0,0,0,0,0,0,8,0,8,0,4,12,0,8,0,0,16,8,0,0,4,28,4,0,32,0,52,0,4,0,0,4,8,0,0,0,0,0,16,0,0,0,0,0,0,16,8,8,0,0,8,0,8,0,12,8,0,0,0,8,0,48
0,8,4,12,0,0,8,4,0,0,0,0,4,32,8,12,4,0,12,0,28,8,4,24,0,12,16,40,0,0,12,8,12,12,40,8,0,0,0,0,0,4,20,32,28,8,0,0,8,0,4,16,284,16,0,188,12,0,12,0,0,28,8,20,48,4,24,16,8,0,8,12,28,36,0,0,4,12,0,0,0,4,24,4,4,52,0,12,0,0,8,16,0,4,4,44,4,8,4,0,168,24,12,12,0,12,8,4,0,8,0,0,52,0,16,0,0,0,0,8,24,28,0,0,8,0,20,16,4,24,0,0,8,44,0,76
0,9,0,44,0,4,12,4,36,0,0,0,16,32,24,4,0,8,12,36,0,0,28,32,8,4,32,88,16,4,16,0,20,8,24,36,8,0,0,8,0,4,16,36,20,8,0,0,0,0,4,60,296,56,4,344,12,0,20,0,4,16,16,20,40,0,16,8,4,0,0,20,20,20,4,0,12,28,0,0,4,4,24,0,4,64,0,4,4,0,24,40,4,0,24,76,4,8,28,0,100,12,16,8,4,12,12,16,8,16,8,0,28,0,4,0,0,0,4,8,40,48,12,4,36,4,20,8,4,12,0,0,0,52,4,104
0,10,0,12,0,0,48,4,80,0,0,4,0,72,20,4,0,0,8,32,8,8,32,24,4,4,36,88,32,0,36,0,24,24,64,32,0,0,12,16,0,20,32,76,76,0,4,0,8,0,8,44,420,84,12,504,28,0,52,4,0,48,12,20,124,8,36,12,20,0,0,4,24,48,0,4,44,40,0,4,20,12,64,8,8,88,0,52,4,0,24,48,0,0,44,152,12,16,28,4,284,36,52,12,8,16,20,12,16,12,4,0,80,8,4,12,0,0,0,12,24,80,16,0,20,0,28,8,16,12,0,8,4,108,0,208
